LINE_ID,strain,tot,generations,per_genome_per_gen,bpsub_per_genome,per_CDS_per_gen,bpsub_per_CDS,per_nt_per_gen,bpsub_per_nt,in,del,SV,AT_CG,AT_GC,AT_TA,CG_GC,CG_TA,GC_TA,SVdel,SVin,in_len_avg,del_len_avg,in_len_tot,del_len_tot,SVin_len_avg,SVdel_len_avg,SVin_len_tot,SVdel_len_tot,ALLin_len_avg,ALLdel_len_avg,ALLin_len_tot,ALLdel_len_tot,genome_len,CDS_len,AT/GC_genome,AT_proportion_genome,to_AT_tot,to_CG_tot,AT/GC_muts,GC/AT_muts,ts,tv,ts/tv,dN,dS,dN_dS,in_CDS,not_in_CDS
s1_30,MA_s1,32,792.784944,0.040364036,0.03910266,0.03465823,0.03357516,3.74E-08,3.62E-08,0,1,0,0,4,2,5,12,8,0,0,,1,0,1,,,0,1,,1,0,1,1078809,926310,3.166862365,0.760011272,20,4,5,0.2,16,15,1.066666667,23,3,2.008902213,25,6
s1_33,MA_s1,28,792.784944,0.035318531,0.034057155,0.030325951,0.029242881,3.27E-08,3.16E-08,0,1,0,0,2,0,2,16,7,0,0,,1,0,1,,,0,1,,1,0,1,1078809,926310,3.166862365,0.760011272,23,2,11.5,0.086956522,18,9,2,23,2,3.013357006,24,4
s1_34,MA_s1,26,815.4359424,0.031884785,0.030658447,0.027377595,0.02632461,2.96E-08,2.84E-08,1,0,0,0,1,2,0,14,8,0,0,1,,1,0,,,1,0,1,,1,0,1078809,926310,3.166862365,0.760011272,22,1,22,0.045454545,15,10,1.5,22,1,5.764688174,22,3
s1_35,MA_s1,18,815.4359424,0.022074082,0.020847744,0.018953719,0.017900735,2.05E-08,1.93E-08,0,1,0,0,1,0,3,6,7,0,0,,1,0,1,,,0,1,,1,0,1,1078809,926310,3.166862365,0.760011272,13,1,13,0.076923077,7,10,0.7,14,3,1.222806514,16,2
s1_36,MA_s1,30,815.4359424,0.036790137,0.031884785,0.031589532,0.027377595,3.41E-08,2.96E-08,1,3,0,0,2,0,5,12,7,0,0,1,1,1,3,,,1,3,1,1,1,3,1078809,926310,3.166862365,0.760011272,19,2,9.5,0.105263158,14,12,1.166666667,16,4,1.048119259,19,7
s1_37,MA_s1,22,815.4359424,0.026979434,0.024526758,0.023165657,0.021059688,2.50E-08,2.27E-08,2,0,0,0,0,0,3,7,10,0,0,2,,4,0,,,4,0,2,,4,0,1078809,926310,3.166862365,0.760011272,17,0,#DIV/0!,0,7,13,0.538461538,18,1,4.716557002,18,2
s1_38,MA_s1,20,815.4359424,0.024526758,0.020847744,0.021059688,0.017900735,2.27E-08,1.93E-08,0,3,0,3,1,2,3,5,3,0,0,,1,0,3,,,0,3,,1,0,3,1078809,926310,3.166862365,0.760011272,8,4,2,0.5,6,11,0.545454545,13,4,0.851596079,16,1
s1_39,MA_s1,19,815.4359424,0.02330042,0.020847744,0.020006704,0.017900735,2.16E-08,1.93E-08,0,2,0,1,2,1,3,6,4,0,0,,1,0,2,,,0,2,,1,0,2,1078809,926310,3.166862365,0.760011272,10,3,3.333333333,0.3,8,9,0.888888889,12,3,1.048119197,14,3
s1_40,MA_s1,24,815.4359424,0.02943211,0.026979434,0.025271626,0.023165657,2.73E-08,2.50E-08,0,2,0,0,1,0,3,13,5,0,0,,35.5,0,71,,,0,71,,35.5,0,71,1078809,926310,3.166862365,0.760011272,18,1,18,0.055555556,14,8,1.75,18,3,1.57218182,20,2
s1_41,MA_s1,17,815.4359424,0.020847744,0.019621406,0.017900735,0.016847751,1.93E-08,1.82E-08,0,1,0,0,2,0,1,7,6,0,0,,1,0,1,,,0,1,,1,0,1,1078809,926310,3.166862365,0.760011272,13,2,6.5,0.153846154,9,7,1.285714286,13,2,1.703196325,14,3
s1_42,MA_s1,23,815.4359424,0.028205772,0.024526758,0.024218641,0.021059688,2.61E-08,2.27E-08,1,2,0,0,2,1,1,8,8,0,0,1,1,1,2,,,1,2,1,1,1,2,1078809,926310,3.166862365,0.760011272,16,2,8,0.125,10,10,1,10,5,0.52405798,14,7
s1_43,MA_s1,21,815.4359424,0.025753096,0.024526758,0.022112673,0.021059688,2.39E-08,2.27E-08,0,1,0,0,3,2,3,8,4,0,0,,1,0,1,,,0,1,,1,0,1,1078809,926310,3.166862365,0.760011272,12,3,4,0.25,11,9,1.222222222,12,4,0.786088436,15,6
s1_44,MA_s1,24,815.4359424,0.02943211,0.025753096,0.025271626,0.022112673,2.73E-08,2.39E-08,0,3,0,0,0,1,0,11,9,0,0,,1,0,3,,,0,3,,1,0,3,1078809,926310,3.166862365,0.760011272,20,0,#DIV/0!,0,11,10,1.1,19,3,1.659525787,21,1
s1_45,MA_s1,22,815.4359424,0.026979434,0.022074082,0.023165657,0.018953719,2.50E-08,2.05E-08,2,2,0,0,0,2,2,7,7,0,0,2,1,4,2,,,4,2,2,1,4,2,1078809,926310,3.166862365,0.760011272,14,0,#DIV/0!,0,7,11,0.636363636,15,2,1.965227789,16,3
s1_46,MA_s1,20,770.1339456,0.025969508,0.018178656,0.022298493,0.015608945,2.41E-08,1.69E-08,1,4,1,0,0,0,0,5,9,1,0,1,3.75,1,15,,135,1,15,1,30,1,150,1078809,926310,3.166862365,0.760011272,14,0,#DIV/0!,0,5,9,0.555555556,13,1,3.406396819,13,1
s1_47,MA_s1,20,611.5769568,0.032702344,0.031067227,0.028079584,0.026675605,3.03E-08,2.88E-08,1,0,0,0,2,1,2,6,8,0,0,1,,1,0,,,1,0,1,,1,0,1078809,926310,3.166862365,0.760011272,14,2,7,0.142857143,8,11,0.727272727,17,3,1.48483791,19,0
s1_48,MA_s1,22,815.4359424,0.026979434,0.020847744,0.023165657,0.017900735,2.50E-08,1.93E-08,0,5,0,0,1,2,0,8,6,0,0,,1.2,0,6,,,0,6,,1.2,0,6,1078809,926310,3.166862365,0.760011272,14,1,14,0.071428571,9,8,1.125,11,5,0.576463963,15,3
s1_49,MA_s1,24,815.4359424,0.02943211,0.025753096,0.025271626,0.022112673,2.73E-08,2.39E-08,0,3,0,1,1,1,3,5,10,0,0,,1,0,3,,,0,3,,1,0,3,1078809,926310,3.166862365,0.760011272,15,2,7.5,0.133333333,6,15,0.4,20,2,2.62030792,21,1
s1_50,MA_s1,23,634.2279552,0.036264564,0.031534403,0.031138253,0.027076742,3.36E-08,2.92E-08,2,1,0,0,0,0,1,10,9,0,0,1,1,2,1,,,2,1,1,1,2,1,1078809,926310,3.166862365,0.760011272,19,0,#DIV/0!,0,10,10,1,15,4,0.98261149,18,2
s1_51,MA_s1,21,634.2279552,0.033111123,0.031534403,0.028430579,0.027076742,3.07E-08,2.92E-08,0,1,0,0,0,0,0,7,13,0,0,,1,0,1,,,0,1,,1,0,1,1078809,926310,3.166862365,0.760011272,20,0,#DIV/0!,0,7,13,0.538461538,11,4,0.720580835,14,6
s1_52,MA_s1,7,634.2279552,0.011037041,0.007883601,0.00947686,0.006769185,1.02E-08,7.31E-09,0,2,0,0,0,1,0,0,4,0,0,,1,0,2,,,0,2,,1,0,2,1078809,926310,3.166862365,0.760011272,4,0,#DIV/0!,0,0,5,0,5,1,1.310149262,5,0
s1_53,MA_s1,28,634.2279552,0.044148164,0.040994724,0.037907439,0.035199765,4.09E-08,3.80E-08,1,1,0,0,1,3,5,10,7,0,0,1,1,1,1,,,1,1,1,1,1,1,1078809,926310,3.166862365,0.760011272,17,1,17,0.058823529,11,15,0.733333333,21,4,1.375658733,24,2
s1_54,MA_s1,34,543.6239616,0.062543233,0.049666685,0.053702205,0.042645869,5.80E-08,4.60E-08,1,5,1,0,1,0,0,12,14,1,0,1,1.2,1,6,,1492,1,6,1,249.6666667,1,1498,1078809,926310,3.166862365,0.760011272,26,1,26,0.038461538,13,14,0.928571429,19,3,1.659525787,21,7
s1_55,MA_s1,28,543.6239616,0.051506192,0.042308657,0.044225345,0.036327962,4.77E-08,3.92E-08,2,3,0,0,0,2,3,9,9,0,0,1,1,2,3,,,2,3,1,1,2,3,1078809,926310,3.166862365,0.760011272,18,0,#DIV/0!,0,9,14,0.642857143,22,1,5.764688174,22,1
s1_56,MA_s1,22,543.6239616,0.040469151,0.03495063,0.034748486,0.030010056,3.75E-08,3.24E-08,1,2,0,0,3,1,0,11,4,0,0,1,1,1,2,,,1,2,1,1,1,2,1078809,926310,3.166862365,0.760011272,15,3,5,0.2,14,5,2.8,13,5,0.681276029,17,2
s1_57,MA_s1,16,543.6239616,0.02943211,0.023913589,0.025271626,0.020533196,2.73E-08,2.22E-08,0,2,1,0,1,0,1,6,5,1,0,,1,0,2,,428,0,2,,143.3333333,0,430,1078809,926310,3.166862365,0.760011272,11,1,11,0.090909091,7,6,1.166666667,11,1,2.882333922,11,2
s1_58,MA_s1,11,453.019968,0.02428149,0.022074082,0.020849091,0.018953719,2.25E-08,2.05E-08,0,1,0,0,1,0,2,6,1,0,0,,1,0,1,,,0,1,,1,0,1,1078809,926310,3.166862365,0.760011272,7,1,7,0.142857143,7,3,2.333333333,8,1,2.096240836,8,2
s1_59,MA_s1,17,453.019968,0.03752594,0.035318531,0.032221323,0.030325951,3.48E-08,3.27E-08,1,0,0,2,0,0,2,9,3,0,0,1,,1,0,,,1,0,1,,1,0,1078809,926310,3.166862365,0.760011272,12,2,6,0.166666667,9,7,1.285714286,13,2,1.703196325,14,2
s1_60,MA_s1,19,453.019968,0.041940756,0.033111123,0.036012067,0.028430579,3.89E-08,3.07E-08,0,4,0,0,4,1,0,7,3,0,0,,1,0,4,,,0,4,,1,0,4,1078809,926310,3.166862365,0.760011272,10,4,2.5,0.4,11,4,2.75,10,5,0.52405798,14,1
s1_61,MA_s1,36,453.019968,0.079466696,0.075051879,0.06823339,0.064442646,7.37E-08,6.96E-08,1,1,0,1,4,2,8,15,4,0,0,1,1,1,1,,,1,1,1,1,1,1,1078809,926310,3.166862365,0.760011272,19,5,3.8,0.263157895,19,15,1.266666667,25,4,1.637691068,28,6
s1_62,MA_s1,18,815.4359424,0.022074082,0.017168731,0.018953719,0.014741782,2.05E-08,1.59E-08,0,4,0,0,1,0,0,6,7,0,0,,1,0,4,,,0,4,,1,0,4,1078809,926310,3.166862365,0.760011272,13,1,13,0.076923077,7,7,1,12,1,3.144365286,12,2
s1_64,MA_s1,21,815.4359424,0.025753096,0.022074082,0.022112673,0.018953719,2.39E-08,2.05E-08,0,3,0,0,4,0,1,5,8,0,0,,1,0,3,,,0,3,,1,0,3,1078809,926310,3.166862365,0.760011272,13,4,3.25,0.307692308,9,9,1,14,3,1.222806514,16,2
s1_65,MA_s1,22,792.784944,0.027750275,0.023966146,0.023827533,0.020578324,2.57E-08,2.22E-08,0,3,0,0,1,1,3,8,6,0,0,,1,0,3,,,0,3,,1,0,3,1078809,926310,3.166862365,0.760011272,14,1,14,0.071428571,9,10,0.9,14,3,1.222806514,16,3
s1_66,MA_s1,29,815.4359424,0.035563799,0.033111123,0.030536548,0.028430579,3.30E-08,3.07E-08,0,2,0,0,3,2,3,11,8,0,0,,1,0,2,,,0,2,,1,0,2,1078809,926310,3.166862365,0.760011272,19,3,6.333333333,0.157894737,14,13,1.076923077,18,7,0.673788911,24,3
s1_67,MA_s1,21,543.6239616,0.038629644,0.036790137,0.033169009,0.031589532,3.58E-08,3.41E-08,0,1,0,0,1,0,1,13,5,0,0,,7,0,7,,,0,7,,7,0,7,1078809,926310,3.166862365,0.760011272,18,1,18,0.055555556,14,6,2.333333333,15,3,1.310150257,17,3
s1_68,MA_s1,36,543.6239616,0.066222247,0.055185205,0.056861158,0.047384298,6.14E-08,5.12E-08,1,4,1,0,0,0,6,8,16,1,0,1,1,1,4,,1492,1,4,1,299.2,1,1496,1078809,926310,3.166862365,0.760011272,24,0,#DIV/0!,0,8,22,0.363636364,24,3,2.096246459,26,5
s1_69,MA_s1,28,543.6239616,0.051506192,0.047827178,0.044225345,0.041066392,4.77E-08,4.43E-08,0,2,0,0,2,1,9,7,7,0,0,,1,0,2,,,0,2,,1,0,2,1078809,926310,3.166862365,0.760011272,14,2,7,0.142857143,9,17,0.529411765,18,2,2.358275616,19,7
s1_71,MA_s1,28,543.6239616,0.051506192,0.047827178,0.044225345,0.041066392,4.77E-08,4.43E-08,0,2,0,0,2,1,3,9,11,0,0,,1,0,2,,,0,2,,1,0,2,1078809,926310,3.166862365,0.760011272,20,2,10,0.1,11,15,0.733333333,20,3,1.746869809,22,5
s1_72,MA_s1,22,815.4359424,0.026979434,0.02330042,0.023165657,0.020006704,2.50E-08,2.16E-08,1,1,1,0,1,1,4,9,4,1,0,1,24,1,24,,1618,1,24,1,821,1,1642,1078809,926310,3.166862365,0.760011272,13,1,13,0.076923077,10,9,1.111111111,15,2,1.965227789,16,3
s1_73,MA_s1,29,815.4359424,0.035563799,0.030658447,0.030536548,0.02632461,3.30E-08,2.84E-08,1,3,0,0,2,2,4,14,3,0,0,1,1,1,3,,,1,3,1,1,1,3,1078809,926310,3.166862365,0.760011272,17,2,8.5,0.117647059,16,9,1.777777778,18,6,0.786088025,23,2
s1_74,MA_s1,24,792.784944,0.030273027,0.025227522,0.025993672,0.021661394,2.81E-08,2.34E-08,1,3,0,1,0,0,0,9,10,0,0,1,1.333333333,1,4,,,1,4,1,1.333333333,1,4,1078809,926310,3.166862365,0.760011272,19,1,19,0.052631579,9,11,0.818181818,13,5,0.681276029,17,3
s1_75,MA_s1,27,815.4359424,0.033111123,0.024526758,0.028430579,0.021059688,3.07E-08,2.27E-08,0,6,1,0,1,0,1,9,9,1,0,,13.33333333,0,80,,1489,0,80,,224.1428571,0,1569,1078809,926310,3.166862365,0.760011272,18,1,18,0.055555556,10,10,1,19,1,4.978589543,19,1
s1_76,MA_s1,34,724.8319488,0.046907425,0.044148164,0.040276654,0.037907439,4.35E-08,4.09E-08,1,1,0,1,3,1,5,13,9,0,0,1,1,1,1,,,1,1,1,1,1,1,1078809,926310,3.166862365,0.760011272,22,4,5.5,0.181818182,16,16,1,24,4,1.572182921,27,5
