cell,time,biorep,dilutions,pos
nm,0,3,0.001,6
nm,0,3,1.00E-04,6
nm,0,3,1.00E-05,6
nm,0,3,1.00E-06,6
nm,0,3,1.00E-07,2
nm,0,3,1.00E-08,0
nm,0,3,1.00E-09,0
nm,0,3,1.00E-10,0
nm,0,3,1.00E-11,0
nm,0,3,1.00E-12,0
nm,0,4,0.1,6
nm,0,4,0.01,6
nm,0,4,0.001,6
nm,0,4,1.00E-04,6
nm,0,4,1.00E-05,6
nm,0,4,1.00E-06,6
nm,0,4,1.00E-07,4
nm,0,4,1.00E-08,1
nm,0,4,1.00E-09,0
nm,0,4,1.00E-10,0
nm,0,4,1.00E-11,0
nm,0,4,1.00E-12,0
nm,8.75,1,0.1,6
nm,8.75,1,0.01,6
nm,8.75,1,0.001,6
nm,8.75,1,1.00E-04,6
nm,8.75,1,1.00E-05,6
nm,8.75,1,1.00E-06,6
nm,8.75,1,1.00E-07,5
nm,8.75,1,1.00E-08,5
nm,8.75,1,1.00E-09,2
nm,8.75,1,1.00E-10,0
nm,8.75,1,1.00E-11,0
nm,8.75,1,1.00E-12,0
nm,8.75,2,0.1,6
nm,8.75,2,0.01,6
nm,8.75,2,0.001,6
nm,8.75,2,1.00E-04,6
nm,8.75,2,1.00E-05,6
nm,8.75,2,1.00E-06,6
nm,8.75,2,1.00E-07,6
nm,8.75,2,1.00E-08,6
nm,8.75,2,1.00E-09,3
nm,8.75,2,1.00E-10,0
nm,8.75,2,1.00E-11,0
nm,8.75,2,1.00E-12,0
nm,8.75,3,0.1,6
nm,8.75,3,0.01,6
nm,8.75,3,0.001,6
nm,8.75,3,1.00E-04,6
nm,8.75,3,1.00E-05,6
nm,8.75,3,1.00E-06,6
nm,8.75,3,1.00E-07,6
nm,8.75,3,1.00E-08,6
nm,8.75,3,1.00E-09,4
nm,8.75,3,1.00E-10,0
nm,8.75,3,1.00E-11,0
nm,8.75,3,1.00E-12,0
nm,8.75,4,0.1,6
nm,8.75,4,0.01,6
nm,8.75,4,0.001,6
nm,8.75,4,1.00E-04,6
nm,8.75,4,1.00E-05,6
nm,8.75,4,1.00E-06,6
nm,8.75,4,1.00E-07,6
nm,8.75,4,1.00E-08,6
nm,8.75,4,1.00E-09,2
nm,8.75,4,1.00E-10,1
nm,8.75,4,1.00E-11,2
nm,8.75,4,1.00E-12,0
nm,12,1,0.1,6
nm,12,1,0.01,6
nm,12,1,0.001,6
nm,12,1,1.00E-04,6
nm,12,1,1.00E-05,6
nm,12,1,1.00E-06,6
nm,12,1,1.00E-07,6
nm,12,1,1.00E-08,6
nm,12,1,1.00E-09,6
nm,12,1,1.00E-10,5
nm,12,1,1.00E-11,2
nm,12,1,1.00E-12,3
nm,12,2,0.1,6
nm,12,2,0.01,6
nm,12,2,0.001,6
nm,12,2,1.00E-04,6
nm,12,2,1.00E-05,6
nm,12,2,1.00E-06,6
nm,12,2,1.00E-07,6
nm,12,2,1.00E-08,6
nm,12,2,1.00E-09,6
nm,12,2,1.00E-10,2
nm,12,2,1.00E-11,0
nm,12,2,1.00E-12,0
nm,12,3,0.1,6
nm,12,3,0.01,6
nm,12,3,0.001,6
nm,12,3,1.00E-04,6
nm,12,3,1.00E-05,6
nm,12,3,1.00E-06,6
nm,12,3,1.00E-07,6
nm,12,3,1.00E-08,6
nm,12,3,1.00E-09,2
nm,12,3,1.00E-10,1
nm,12,3,1.00E-11,0
nm,12,3,1.00E-12,0
nm,12,4,0.1,6
nm,12,4,0.01,6
nm,12,4,0.001,6
nm,12,4,1.00E-04,6
nm,12,4,1.00E-05,6
nm,12,4,1.00E-06,6
nm,12,4,1.00E-07,6
nm,12,4,1.00E-08,6
nm,12,4,1.00E-09,3
nm,12,4,1.00E-10,1
nm,12,4,1.00E-11,0
nm,12,4,1.00E-12,0
nm,16,1,0.1,6
nm,16,1,0.01,6
nm,16,1,0.001,6
nm,16,1,1.00E-04,6
nm,16,1,1.00E-05,6
nm,16,1,1.00E-06,6
nm,16,1,1.00E-07,6
nm,16,1,1.00E-08,6
nm,16,1,1.00E-09,5
