LINE_ID,strain,tot,generations,per_genome_per_gen,bpsub_per_genome,per_CDS_per_gen,bpsub_per_CDS,per_nt_per_gen,bpsub_per_nt,in,del,SV,AT_CG,AT_GC,AT_TA,CG_GC,CG_TA,GC_TA,SVdel,SVin,in_len_avg,del_len_avg,in_len_tot,del_len_tot,SVin_len_avg,SVdel_len_avg,SVin_len_tot,SVdel_len_tot,ALLin_len_avg,ALLdel_len_avg,ALLin_len_tot,ALLdel_len_tot,genome_len,CDS_len,AT/GC_genome,AT_proportion_genome,to_AT_tot,to_CG_tot,AT/GC_muts,GC/AT_muts,ts,tv,ts/tv,dN,dS,dN_dS,in_CDS,not_in_CDS
3B_80,MA_3B,13,577.8828069,0.022495911,0.022495911,0.019860467,0.019860467,4.14E-08,4.14E-08,0,0,0,0,1,0,0,12,0,0,0,,,0,0,,,0,0,,,0,0,543379,479721,3.117817791,0.757152926,12,1,12,0.083333333,13,0,#DIV/0!,10,2,1.328729942,11,2
3B_81,MA_3B,8,654.9338478,0.012214974,0.010688102,0.010783964,0.009435969,2.24797E-08,1.96697E-08,0,1,0,0,0,0,0,4,3,0,0,,1,0,1,,,0,1,,1,0,1,543379,479721,3.117817791,0.757152926,7,0,#DIV/0!,0,4,3,1.333333333,5,2,0.664362923,6,1
3B_82,MA_3B,15,558.6200467,0.026851883,0.023271632,0.023706128,0.020545311,4.94165E-08,4.28276E-08,0,2,0,2,1,0,0,6,4,0,0,,1,0,2,,,0,2,,1,0,2,543379,479721,3.117817791,0.757152926,10,3,3.333333333,0.3,7,6,1.166666667,9,3,0.797235624,11,2
3B_83,MA_3B,9,654.9338478,0.013741846,0.013741846,0.01213196,0.01213196,2.52896E-08,2.52896E-08,0,0,0,0,1,0,0,4,4,0,0,,,0,0,,,0,0,,,0,0,543379,479721,3.117817791,0.757152926,8,1,8,0.125,5,4,1.25,5,2,0.664362923,6,3
3B_84,MA_3B,6,616.4083274,0.009733808,0.008111506,0.008593471,0.007161226,1.79135E-08,1.49279E-08,0,1,0,0,0,0,0,4,1,0,0,,3,0,3,,,0,3,,3,0,3,543379,479721,3.117817791,0.757152926,5,0,#DIV/0!,0,4,1,4,6,1,1.594475697,6,0
3B_85,MA_3B,12,654.9338478,0.018322461,0.012214974,0.016175946,0.010783964,3.37195E-08,2.24797E-08,1,3,0,0,0,1,0,7,0,0,0,1,1.666666667,1,5,,,1,5,1,1.666666667,1,5,543379,479721,3.117817791,0.757152926,7,0,#DIV/0!,0,7,1,7,8,1,2.125970218,8,0
3B_86,MA_3B,15,654.9338478,0.022903076,0.019849333,0.020219933,0.017523942,4.21494E-08,3.65294E-08,2,0,0,0,0,0,0,13,0,0,0,2,,4,0,,,4,0,2,,4,0,543379,479721,3.117817791,0.757152926,13,0,#DIV/0!,0,13,0,#DIV/0!,13,1,3.454712253,13,0
3B_89,MA_3B,10,558.6200467,0.017901255,0.014321004,0.015804085,0.012643268,3.29443E-08,2.63555E-08,1,1,0,0,1,1,0,4,2,0,0,6,1,6,1,,,6,1,6,1,6,1,543379,479721,3.117817791,0.757152926,6,1,6,0.166666667,5,3,1.666666667,6,1,1.594475697,6,2
3B_90,MA_3B,14,616.4083274,0.022712218,0.022712218,0.020051433,0.020051433,4.17981E-08,4.17981E-08,0,0,0,0,0,1,1,11,1,0,0,,,0,0,,,0,0,,,0,0,543379,479721,3.117817791,0.757152926,12,0,#DIV/0!,0,11,3,3.666666667,12,3,1.062982798,14,0
3B_92,MA_3B,12,616.4083274,0.019467615,0.016223013,0.017186943,0.014322452,3.5827E-08,2.98558E-08,0,2,0,0,0,0,0,7,3,0,0,,1,0,2,,,0,2,,1,0,2,543379,479721,3.117817791,0.757152926,10,0,#DIV/0!,0,7,3,2.333333333,7,2,0.930109239,8,3
3B_93,MA_3B,10,635.6710876,0.015731406,0.014158265,0.013888439,0.012499595,2.89511E-08,2.6056E-08,0,1,0,0,0,1,0,7,1,0,0,,1,0,1,,,0,1,,1,0,1,543379,479721,3.117817791,0.757152926,8,0,#DIV/0!,0,7,2,3.5,5,2,0.664362923,6,3
3B_95,MA_3B,6,616.4083274,0.009733808,0.009733808,0.008593471,0.008593471,1.79135E-08,1.79135E-08,0,0,0,0,0,1,0,3,2,0,0,,,0,0,,,0,0,,,0,0,543379,479721,3.117817791,0.757152926,5,0,#DIV/0!,0,3,3,1,5,1,1.328728928,5,1
3B_96,MA_3B,6,635.6710876,0.009438844,0.009438844,0.008333063,0.008333063,1.73706E-08,1.73706E-08,0,0,0,0,0,0,0,6,0,0,0,,,0,0,,,0,0,,,0,0,543379,479721,3.117817791,0.757152926,6,0,#DIV/0!,0,6,0,#DIV/0!,3,3,0.265744225,5,1
