Genotype,Timepoint,Strain,Diameter,Area,Volume,Pixels,Mean,Min,Max
Minimal,Evolved,B_5,0.230152011,0.0416025,0.006383266,10,2778.6,2673,2864
Minimal,Evolved,B_5,0.291121825,0.066564,0.012918822,16,3493.438,3280,3707
Minimal,Evolved,B_5,0.371108967,0.1081665,0.026761039,26,2637.5,2443,2798
Minimal,Evolved,B_5,0.436682738,0.149769,0.043601025,36,2298.75,1824,2771
Minimal,Evolved,B_5,0.363902281,0.10400625,0.025232074,25,2379.88,1978,2779
Minimal,Evolved,B_5,0.102927108,0.0083205,0.000570937,2,2793.5,2789,2798
Minimal,Evolved,B_5,0.262413667,0.05408325,0.009461456,13,2599.308,2371,2769
Minimal,Evolved,B_5,0.281877495,0.06240375,0.011726808,15,2682.133,2556,2806
Minimal,Evolved,B_5,0.430574986,0.14560875,0.04179699,35,2526.6,2069,2804
Minimal,Evolved,B_5,0.262413667,0.05408325,0.009461456,13,2623.923,2476,2744
Minimal,Evolved,B_3,0.436682738,0.149769,0.043601025,36,2507.611,2072,2894
Minimal,Evolved,B_3,0.178274981,0.0249615,0.002966674,6,2446.333,2281,2528
Minimal,Evolved,B_3,0.272319532,0.0582435,0.010573895,14,2261.571,1982,2566
Minimal,Evolved,B_3,0.341370599,0.0915255,0.02082941,22,2511.864,2191,2915
Minimal,Evolved,B_3,0.262413667,0.05408325,0.009461456,13,2745.308,2590,2909
Minimal,Evolved,B_3,0.33352195,0.08736525,0.019425486,21,2778.667,2467,3051
Minimal,Evolved,B_3,0.59573371,0.27873675,0.110701919,67,2477.478,1760,3039
Minimal,Evolved,B_3,0.430574986,0.14560875,0.04179699,35,2417.4,1806,2969
Minimal,Evolved,B_3,0.477253368,0.17889075,0.056917475,43,2680.837,2167,3098
Minimal,Evolved,B_3,0.262413667,0.05408325,0.009461456,13,2893.769,2699,3061
Minimal,Evolved,B_3,0.466022304,0.17057025,0.052993027,41,2864.439,2591,3092
Minimal,Evolved,B_3,0.713099925,0.399384,0.189867134,96,2623.323,1897,3088
Minimal,Evolved,B_3,0.291121825,0.066564,0.012918822,16,2889.375,2667,3065
Minimal,Evolved,B_3,0.391934752,0.12064725,0.0315239,29,2749.966,2278,3134
Minimal,Evolved,B_3,0.848758679,0.565794,0.320148379,136,2295.912,1538,3150
Minimal,Evolved,B_3,0.77023595,0.465948,0.239259934,112,2311.696,1597,3148
Minimal,Evolved,B_3,0.430574986,0.14560875,0.04179699,35,2868,2473,3142
Minimal,Evolved,B_3,0.281877495,0.06240375,0.011726808,15,2959.733,2771,3103
Minimal,Evolved,B_3,0.524827334,0.216333,0.075691648,52,2354.231,1861,3025
Minimal,Evolved,B_3,0.442706232,0.15392925,0.045430292,37,2649.622,2211,3093
Minimal,Evolved,B_3,0.604559875,0.28705725,0.11569553,69,2606.667,1929,3147
Wildtype,Evolved,s1_3,1.268970616,1.264716,1.069924961,304,2573.401,1774,3587
Wildtype,Evolved,s1_3,1.13686707,1.015101,0.7693566,244,2724.422,1985,3575
Wildtype,Evolved,s1_3,1.277291824,1.281357,1.091111213,308,2839.37,2143,3582
Wildtype,Evolved,s1_3,0.94334253,0.698922,0.439548565,168,2555.125,1912,3577
Wildtype,Evolved,s1_3,0.780483442,0.47842875,0.248937145,115,2599.409,1931,3573
Wildtype,Evolved,s1_3,0.897297728,0.632358,0.378275598,152,2780.224,2176,3587
Wildtype,Evolved,s1_3,0.813710238,0.52003125,0.282103168,125,2634.256,1883,3588
Wildtype,Evolved,s1_3,0.823416867,0.532512,0.292319575,128,2620.094,1972,3583
Wildtype,Evolved,s1_3,0.634485308,0.316179,0.13374062,76,2730.171,2029,3539
Wildtype,Evolved,s1_3,0.816958596,0.5241915,0.285495168,126,2601.746,1995,3562
Wildtype,Evolved,s1_3,1.120440883,0.98597925,0.736487641,237,2520.857,1856,3591
Wildtype,Evolved,s1_3,0.879409599,0.6073965,0.356100208,146,2579.397,1793,3580
Wildtype,Evolved,s1_3,0.845632485,0.56163375,0.316623829,135,2754.333,1845,3574
Wildtype,Evolved,s1_3,0.979160897,0.75300525,0.491542197,181,2690.608,1791,3581
Wildtype,Evolved,s1_3,1.013714454,0.8070885,0.545438185,194,2676.211,1848,3586
Wildtype,Evolved,s1_3,1.157644025,1.05254325,0.812313603,253,2622.85,1925,3532
Wildtype,Evolved,s1_3,1.005845918,0.79460775,0.532835308,191,2552.675,1710,3592
Wildtype,Evolved,s1_3,1.262693724,1.25223525,1.054126394,301,2484.621,1570,3714
Wildtype,Evolved,s1_3,0.99791534,0.782127,0.520331021,188,2613.133,1599,3724
Wildtype,Evolved,s1_3,1.143834656,1.02758175,0.783589078,247,2428.66,1546,3706
Wildtype,Evolved,s1_3,1.04205755,0.85285125,0.592480056,205,2509.561,1667,3702
Wildtype,Evolved,s1_3,1.139194334,1.01926125,0.774091094,245,2653.131,1584,3710
Wildtype,Evolved,s1_3,0.848758679,0.565794,0.320148379,136,3043.331,2225,3716
Wildtype,Evolved,s1_3,0.917726635,0.66147975,0.404705057,159,2874.182,2039,3716
Wildtype,Evolved,s1_3,1.224356783,1.17735075,0.960998251,283,2542.431,1618,3719
Wildtype,Evolved,s1_3,1.049654668,0.865332,0.605533182,208,2576.635,1690,3715
Wildtype,Evolved,s1_3,0.926343975,0.6739605,0.416212832,162,2590.074,1587,3723
Wildtype,Evolved,s1_3,0.909027608,0.648999,0.393305339,156,2630.128,1676,3715
Wildtype,Evolved,s1_3,0.917726635,0.66147975,0.404705057,159,2694.189,1841,3724
Wildtype,Evolved,s1_3,1.086843983,0.92773575,0.672202679,223,2546.085,1800,3714
Wildtype,Evolved,s1_3,0.920608044,0.66564,0.408529026,160,2465.25,1669,3724
Wildtype,Evolved,s1_3,0.839345168,0.55331325,0.309613868,133,2588.459,1722,3718
Wildtype,Evolved,s1_3,0.8518734,0.56995425,0.32368591,137,2635.577,1870,3724
Wildtype,Evolved,s1_3,0.780483442,0.47842875,0.248937145,115,2717.574,1892,3712
Wildtype,Evolved,s1_3,1.189242455,1.11078675,0.880663174,267,2434.951,1715,3721
Wildtype,Evolved,s1_3,0.876392748,0.60323625,0.352447916,145,2709.855,1825,3723
Wildtype,Evolved,s1_3,1.09413017,0.9402165,0.685812826,226,2553.04,1744,3720
Wildtype,Evolved,s1_3,1.12750998,0.99846,0.750515743,240,2710.392,1911,3724
Wildtype,Evolved,s1_3,0.59573371,0.27873675,0.110701919,67,2765.985,1891,3717
Wildtype,Evolved,s1_3,0.716804365,0.40354425,0.19284152,97,2746.918,2010,3721
Wildtype,Evolved,s1_3,0.773666863,0.47010825,0.24247145,113,2693.92,1970,3724
Wildtype,Evolved,s1_3,0.911936503,0.65315925,0.397093175,157,2785.306,1975,3724
Wildtype,Evolved,s1_3,0.698085613,0.382743,0.178124921,92,2930.315,2148,3717
Wildtype,Evolved,s1_3,0.836183781,0.549153,0.306128555,132,2832.917,1971,3723
Wildtype,Evolved,s1_3,0.780483442,0.47842875,0.248937145,115,2717.574,1892,3712
Wildtype,Evolved,s1_3,1.086843983,0.92773575,0.672202679,223,2546.085,1800,3714
Wildtype,Evolved,s1_3,0.823416867,0.532512,0.292319575,128,2601.969,1828,3572
Wildtype,Evolved,s1_3,0.929198663,0.67812075,0.420072596,163,2499.877,1681,3572
Wildtype,Evolved,s1_3,1.11094545,0.96933825,0.717921279,233,2558.386,1824,3570
Wildtype,Evolved,s1_3,0.77023595,0.465948,0.239259934,112,2739.33,1986,3577
Wildtype,Evolved,s1_3,0.957277443,0.71972325,0.459316555,173,2507.786,1770,3562
Wildtype,Evolved,s1_3,0.742217934,0.432666,0.21408831,104,2682.808,1875,3571
Wildtype,Evolved,s1_3,0.909027608,0.648999,0.393305339,156,2041.667,1698,2372
Wildtype,Evolved,s1_3,0.742217934,0.432666,0.21408831,104,2062.356,1745,2366
Wildtype,Evolved,s1_3,1.180300655,1.09414575,0.860947297,263,2523.452,1599,3579
Wildtype,Evolved,s1_3,0.923480463,0.66980025,0.412364963,161,2795.373,1889,3583
Wildtype,Evolved,s1_3,0.720489758,0.4077045,0.195831278,98,2312.235,1884,2630
Wildtype,Evolved,s1_3,1.268970616,1.264716,1.069924961,304,2573.401,1774,3587
Wildtype,Evolved,s1_3,1.13686707,1.015101,0.7693566,244,2724.422,1985,3575
Wildtype,Evolved,s1_3,1.277291824,1.281357,1.091111213,308,2839.37,2143,3582
Wildtype,Evolved,s1_3,0.94334253,0.698922,0.439548565,168,2555.125,1912,3577
Wildtype,Evolved,s1_3,0.780483442,0.47842875,0.248937145,115,2599.409,1931,3573
Wildtype,Evolved,s1_3,0.897297728,0.632358,0.378275598,152,2780.224,2176,3587
Wildtype,Evolved,s1_3,0.813710238,0.52003125,0.282103168,125,2634.256,1883,3588
Wildtype,Evolved,s1_3,0.823416867,0.532512,0.292319575,128,2620.094,1972,3583
Wildtype,Evolved,s1_3,0.634485308,0.316179,0.13374062,76,2730.171,2029,3539
Wildtype,Evolved,s1_3,0.816958596,0.5241915,0.285495168,126,2601.746,1995,3562
Wildtype,Evolved,s1_3,1.120440883,0.98597925,0.736487641,237,2520.857,1856,3591
Wildtype,Evolved,s1_3,0.879409599,0.6073965,0.356100208,146,2579.397,1793,3580
Wildtype,Evolved,s1_3,0.845632485,0.56163375,0.316623829,135,2754.333,1845,3574
Wildtype,Evolved,s1_3,0.979160897,0.75300525,0.491542197,181,2690.608,1791,3581
Wildtype,Evolved,s1_3,1.013714454,0.8070885,0.545438185,194,2676.211,1848,3586
Wildtype,Evolved,s1_3,1.157644025,1.05254325,0.812313603,253,2622.85,1925,3532
Wildtype,Evolved,s1_3,1.005845918,0.79460775,0.532835308,191,2552.675,1710,3592
