,in,del,SV,AT_CG,AT_GC,AT_TA,CG_GC,CG_TA,GC_TA,SVdel,SVin,in_len_avg,del_len_avg,in_len_tot,del_len_tot,SVin_len_avg,SVdel_len_avg,SVin_len_tot,SVdel_len_tot,ALLin_len_avg,ALLdel_len_avg,ALLin_len_tot,ALLdel_len_tot
s1_67,0,1,0,0,1,0,1,13,5,0,0,,7.0,0.0,7.0,,,0.0,7.0,,7.0,0.0,7.0
s1_68,1,4,1,0,0,0,6,8,16,1,0,1.0,1.0,1.0,4.0,,1492.0,1.0,4.0,1.0,299.2,1.0,1496.0
s1_69,0,2,0,0,2,1,9,7,7,0,0,,1.0,0.0,2.0,,,0.0,2.0,,1.0,0.0,2.0
s1_71,0,2,0,0,2,1,3,9,11,0,0,,1.0,0.0,2.0,,,0.0,2.0,,1.0,0.0,2.0
s1_72,1,1,1,0,1,1,4,9,4,1,0,1.0,24.0,1.0,24.0,,1618.0,1.0,24.0,1.0,821.0,1.0,1642.0
s1_73,1,3,0,0,2,2,4,14,3,0,0,1.0,1.0,1.0,3.0,,,1.0,3.0,1.0,1.0,1.0,3.0
s1_74,1,3,0,1,0,0,0,9,10,0,0,1.0,1.3333333333333333,1.0,4.0,,,1.0,4.0,1.0,1.3333333333333333,1.0,4.0
s1_75,0,6,1,0,1,0,1,9,9,1,0,,13.333333333333334,0.0,80.0,,1489.0,0.0,80.0,,224.14285714285714,0.0,1569.0
s1_76,1,1,0,1,3,1,5,13,9,0,0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
s1_77,0,0,0,0,1,0,5,4,4,0,0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0
s1_78,0,2,0,0,3,1,3,18,4,0,0,,1.0,0.0,2.0,,,0.0,2.0,,1.0,0.0,2.0
s1_79,1,0,0,0,2,0,2,10,6,0,0,1.0,,1.0,0.0,,,1.0,0.0,1.0,,1.0,0.0
s1_80,0,3,0,1,1,0,4,10,15,0,0,,4.333333333333333,0.0,13.0,,,0.0,13.0,,4.333333333333333,0.0,13.0
s1_81,0,0,0,0,0,0,1,3,4,0,0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0
s1_82,1,2,0,1,0,0,2,9,9,0,0,2.0,1.0,2.0,2.0,,,2.0,2.0,2.0,1.0,2.0,2.0
s1_83,1,2,0,1,3,0,2,9,10,0,0,1.0,1.0,1.0,2.0,,,1.0,2.0,1.0,1.0,1.0,2.0
s1_85,0,1,0,0,3,2,3,20,7,0,0,,1.0,0.0,1.0,,,0.0,1.0,,1.0,0.0,1.0
s1_86,0,2,0,1,2,2,2,10,11,0,0,,1.0,0.0,2.0,,,0.0,2.0,,1.0,0.0,2.0
s1_88,2,3,0,1,1,1,2,13,9,0,0,1.0,1.0,2.0,3.0,,,2.0,3.0,1.0,1.0,2.0,3.0
s1_89,2,3,0,0,1,2,0,11,4,0,0,1.0,1.0,2.0,3.0,,,2.0,3.0,1.0,1.0,2.0,3.0
s1_90,1,2,0,0,2,2,0,9,13,0,0,1.0,1.0,1.0,2.0,,,1.0,2.0,1.0,1.0,1.0,2.0
s1_91,1,2,0,1,2,2,8,14,8,0,0,1.0,43.5,1.0,87.0,,,1.0,87.0,1.0,43.5,1.0,87.0
s1_93,1,1,0,0,0,0,4,10,10,0,0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
s1_94,0,2,0,0,0,0,2,5,8,0,0,,1.0,0.0,2.0,,,0.0,2.0,,1.0,0.0,2.0
s1_95,0,2,0,0,2,1,2,9,14,0,0,,1.0,0.0,2.0,,,0.0,2.0,,1.0,0.0,2.0
s1_96,0,2,0,0,1,1,1,13,6,0,0,,1.0,0.0,2.0,,,0.0,2.0,,1.0,0.0,2.0
